Район,Адрес,Площадь (м²),Тип,Цена (руб.),Цена за м² (руб.),Комнат,Этаж,ЖК/Комплекс,Источник,Дата сбора,Примечание
,ул. Сергея Свиридова 11к2,38.9,Новостройка,5355900,137684,1,4/4,ЖК Скандиа. Квартал у Озера,Яндекс.Недвижимость,2026-07-04,скидка 10%; сдача 1кв.2026
,ул. Андрея Приказнова 1,40.8,Новостройка,6820000,167157,1,8/14,ЖК Мотивы,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,ул. Алматинская 10,70,Новостройка,9117600,130251,3,9/25,ЖК ДомОтель,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Лесопарковая 22,38.3,Новостройка,6260000,163446,1,7/24,Городские кварталы Чистые пруды,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,,56.8,Новостройка,8010000,141021,2,6/19,ЖК Символ (Комарово Парк),Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,,47.2,Новостройка,6550000,138771,2,3/14,Жилой дом Концепт,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2027
,,64.1,Новостройка,9290000,144930,2,17/19,ЖК Приятное окружение,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,ул. Щербакова 2к6,122.8,Новостройка,26284726,214045,4,2/8,ЖК Вознесенский,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Муравленко 9к3,70.7,Новостройка,12290000,173833,2,7/8,Европейский квартал (Дом у озера),Яндекс.Недвижимость,2026-07-04,сдача 2кв.2027
,ул. Заполярная 3,58.5,Новостройка,7600000,129915,2,12/15,ЖК Август,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2025
,ул. Полевая 93,83.2,Новостройка,10539000,126671,2,15/19,ЖК Плэй,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Ставропольская 1,38.2,Новостройка,6240000,163351,1,6/14,ЖК Ставропольская 1,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
